# Esquema REAL del HIS del Hospital San Vicente de Paúl (Anserma).
#
# Volcado de ESEHSVP (catálogo vivo) el 2026-09-01 con el bloque 28 de
# sql/FASE0_DESCUBRIMIENTO_HIS.sql. Es la VERDAD contra la que se contrasta el
# mock local: scripts/verificar-esquema-mock.mjs falla si divergen.
#
# Por qué existe: `PACIENTES` parecía documentada y no lo estaba —solo teníamos
# su lista de NOT NULL— el mock se construyó con eso, y la diferencia escondió
# un defecto que habría roto producción (escribía el nombre completo en una
# columna de 20 caracteres). Cuando el mock es más permisivo que el HIS, no
# simplifica: miente.
#
# `CONVENIOS` se omite a propósito: son 85 columnas de facturación y el driver
# no la consulta nunca (los convenios se homologan por `mappingJson`). Si algún
# día se leyera, hay que volcarla aquí también.
#
# Para actualizarlo: correr el bloque 28 y pegar el resultado aquí, conservando
# esta cabecera.
tabla	columna	tipo	ancho	acepta_nulos
CITAS_ANULADAS	CD_CODI_MED_CIAN	varchar	4	NO
CITAS_ANULADAS	CD_CODI_SER_CIAN	varchar	12	SI
CITAS_ANULADAS	NU_HIST_PAC_CIAN	varchar	20	SI
CITAS_ANULADAS	NU_DURA_CIAN	int	NULL	SI
CITAS_ANULADAS	FE_ELAB_CIAN	datetime	NULL	SI
CITAS_ANULADAS	FE_FECH_CIAN	datetime	NULL	SI
CITAS_ANULADAS	NU_DIA_CIAN	tinyint	NULL	SI
CITAS_ANULADAS	NU_NUME_MOVI_CIAN	int	NULL	NO
CITAS_ANULADAS	NU_PRIM_CIAN	tinyint	NULL	SI
CITAS_ANULADAS	FE_HORA_CIAN	varchar	18	SI
CITAS_ANULADAS	NU_NUME_CONE_CIAN	int	NULL	SI
CITAS_ANULADAS	NU_CONE_CALL_CIAN	int	NULL	SI
CITAS_ANULADAS	CD_CODI_ESP_CIAN	varchar	3	SI
CITAS_ANULADAS	CD_CODI_CONS_CIAN	varchar	8	SI
CITAS_ANULADAS	NU_NUME_CONV_CIAN	int	NULL	SI
CITAS_ANULADAS	NU_TIPO_CIAN	tinyint	NULL	SI
CITAS_ANULADAS	DE_DESC_CIAN	varchar	600	SI
CITAS_ANULADAS	CD_CODI_MOTI_CIAN	varchar	2	SI
CITAS_ANULADAS	NU_CONE_ANUL_CIAN	int	NULL	SI
CITAS_ANULADAS	NU_AUTO_AGRU_CIAN	int	NULL	SI
CITAS_ANULADAS	TX_OBSE_CIAN	varchar	255	SI
CITAS_ANULADAS	CD_CODI_EST_CIAN	varchar	3	SI
CITAS_ANULADAS	CD_CODI_CAMP_CIAN	varchar	3	SI
CITAS_ANULADAS	NU_CODIGO_HSWE_CIAN	tinyint	NULL	SI
CITAS_MEDICAS	CD_CODI_MED_CIT	varchar	4	NO
CITAS_MEDICAS	CD_CODI_SER_CIT	varchar	12	SI
CITAS_MEDICAS	NU_HIST_PAC_CIT	varchar	20	SI
CITAS_MEDICAS	NU_DURA_CIT	int	NULL	SI
CITAS_MEDICAS	FE_ELAB_CIT	datetime	NULL	SI
CITAS_MEDICAS	FE_FECH_CIT	datetime	NULL	SI
CITAS_MEDICAS	NU_DIA_CIT	tinyint	NULL	SI
CITAS_MEDICAS	NU_NUME_MOVI_CIT	int	NULL	SI
CITAS_MEDICAS	NU_PRIM_CIT	tinyint	NULL	SI
CITAS_MEDICAS	FE_HORA_CIT	varchar	18	NO
CITAS_MEDICAS	NU_ESTA_CIT	tinyint	NULL	NO
CITAS_MEDICAS	NU_NUME_CONE_CIT	int	NULL	SI
CITAS_MEDICAS	NU_CONE_CALL_CIT	int	NULL	SI
CITAS_MEDICAS	CD_CODI_ESP_CIT	varchar	3	SI
CITAS_MEDICAS	CD_CODI_CONS_CIT	varchar	8	SI
CITAS_MEDICAS	NU_NUME_CONV_CIT	int	NULL	SI
CITAS_MEDICAS	NU_TIPO_CIT	tinyint	NULL	SI
CITAS_MEDICAS	DE_DESC_CIT	varchar	600	SI
CITAS_MEDICAS	NU_AUTO_AGRU_CIT	int	NULL	SI
CITAS_MEDICAS	TX_PEND_AGRU_CIT	varchar	1	SI
CITAS_MEDICAS	CD_CODI_EST_CIT	varchar	3	SI
CITAS_MEDICAS	CD_CODI_CAMP_CIT	varchar	3	SI
CITAS_MEDICAS	CD_CODI_CECO_CIT	varchar	11	SI
CITAS_MEDICAS	CD_CODI_LUAT_CIT	varchar	2	SI
CITAS_MEDICAS	FE_SOLI_CIT	datetime	NULL	SI
CITAS_MEDICAS	NU_CODIGO_HSWE_CIT	tinyint	NULL	SI
CITAS_MEDICAS	NU_MOD_CIT	tinyint	NULL	SI
CONSULTORIOS	CD_CODI_CONS	varchar	8	NO
CONSULTORIOS	DE_DESC_CONS	varchar	30	SI
CONSULTORIOS	DE_UBIC_CONS	varchar	40	SI
CONSULTORIOS	NU_ACTIVO_CONS	bit	NULL	NO
MOTIVOANUL	CD_CODI_MOTI	varchar	2	NO
MOTIVOANUL	DE_DESC_MOTI	varchar	40	SI
